Company,count,share_pct
Thaxton Investment Corporation,1050,0.00936689679793971
CONTRACT CALLERS INC,1041,0.009286609111100227
"Prosper Marketplace, Inc.",1038,0.0092598465488204
United Revenue Corporation,1035,0.009233083986540573
"EOS Holdings, Inc.",1033,0.00921524227835402
"AXOS FINANCIAL, INC.",1033,0.00921524227835402
First Credit Services Inc.,1027,0.009161717153794364
FirstPoint Collection Resources,1020,0.009099271175141433
"National Consumer Telecom & Utilities Exchange, Inc.",1013,0.009036825196488503
"Carvana Group, LLC",994,0.008867328968716259
SUNCOAST CREDIT UNION,993,0.008858408114622983
"Receivables Management Partners, LLC",992,0.008849487260529709
VYSTAR CREDIT UNION,982,0.008760278719596948
"SANTANDER BANK, NATIONAL ASSOCIATION",967,0.00862646590819781
R & B Corporation of Virginia,966,0.008617545054104534
"Foris DAX, Inc.",965,0.008608624200011258
"CMRE Financial Services, Inc.",961,0.008572940783638154
"Continental Services Group, Inc. d/b/a ConServe",955,0.008519415659078499
"FIRST CITIZENS BANCSHARES, INC.",921,0.008216106619907118
Alorica Inc.,919,0.008198264911720566
"Receivables Performance Management, LLC",906,0.008082293808507978
BANCO POPULAR DE PUERTO RICO,904,0.008064452100321428
"Franklin Collection Service, Inc.",903,0.008055531246228152
"WEBSTER BANK, NATIONAL ASSOCIATION",903,0.008055531246228152
Google Compare Credit Cards Inc.,901,0.0080376895380416
"Byrider Franchising, LLC",893,0.007966322705295393
Lending Club Corp,889,0.007930639288922289
"CHARLES SCHWAB CORPORATION, THE",886,0.00790387672664246
"Marlette Funding, LLC",884,0.007886035018455908
"Bounce AI, Inc.",880,0.007850351602082806
"Tower Loan of Mississippi, Inc.",877,0.007823589039802977
Sezzle Inc.,866,0.007725459644776942
FREEDOM FINANCIAL NETWORK,853,0.007609488541564356
"Paramount Recovery Systems, L.P.",852,0.00760056768747108
Unifin Inc.,835,0.007448913167885389
FIRST HORIZON BANK,830,0.00740430889741901
"Williams & Fudge, Inc",820,0.007315100356486251
"ARVEST BANK GROUP, INC.",819,0.007306179502392975
Westcreek Financial,814,0.007261575231926595
Blackhawk Network Holdings Inc.,811,0.007234812669646767
BAM Management US Holdings Inc.,811,0.007234812669646767
"Helvey & Associates, Inc., Warsaw, IN Branch",802,0.007154524982807284
"The Outsource Group, Inc",799,0.007127762420527456
ADP Inc.,780,0.006958266192755214
Stellantis Financial Services US Corp.,773,0.006895820214102282
"Kimball, Tirey & St. John LLP",758,0.006762007402703144
"Capital Accounts, LLC",756,0.006744165694516592
"Firstsource Business Process Services, LLC",752,0.006708482278143488
First Technology Federal Credit Union,749,0.00668171971586366
"Southwest Recovery Services, Inc.",743,0.006628194591304005
"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",736,0.006565748612651074
"AR Resources, Inc.",735,0.006556827758557798
HEARTLAND PAYMENT SYSTEMS INC,733,0.0065389860503712455
"Remitly, Inc.",731,0.006521144342184694
"OPTUM BANK, INC.",730,0.006512223488091418
AMERICA FIRST FEDERAL CREDIT UNION,729,0.006503302633998142
"Adler Wallach & Associates, Inc.",721,0.006431935801251935
"RFNA, LP",721,0.006431935801251935
American Coradius International LLC,708,0.006315964698039348
"Populus Financial Group, Inc. (F/K/A Ace Cash Express)",704,0.0062802812816662446
"Social Finance, Inc.",692,0.006173231032546933
"Grain Technology, Inc.",690,0.006155389324360381
Solar Mosaic LLC,685,0.006110785053894002
"BANK OF NEW YORK MELLON CORPORATION, THE",680,0.006066180783427622
"Cedars Business Services, LLC",674,0.006012655658867967
"MONEY SOURCE, INC., THE",673,0.006003734804774691
"GOLDEN 1 CREDIT UNION, THE",670,0.005976972242494863
BOEING EMPLOYEES' CREDIT UNION,667,0.005950209680215035
TMX Finance LLC,657,0.005861001139282276
Diverse Funding Associates LLC,654,0.005834238577002449
"Aqua Finance, Inc.",652,0.0058163968688158965
"First Federal Credit Control, Inc.",651,0.0058074760147226205
DriveTime,649,0.005789634306536069
"EGL US, LLC",649,0.005789634306536069
Synergetic Communication Inc,646,0.005762871744256241
Millco Management,642,0.0057271883278831376
"Sunbit, Inc.",641,0.0057182674737898615
The Law Offices of Mitchell D. Bluhm & Associates,640,0.005709346619696585
SN SERVICING CORPORATION,635,0.005664742349230206
Professional Recovery Management,627,0.005593375516483999
"Revco Management, LLC",625,0.005575533808297447
"Carter-Young, Inc.",625,0.005575533808297447
"BROKER SOLUTIONS, INC.",624,0.005566612954204171
Kovo,618,0.005513087829644515
"Duvera Billing Services, LLC",617,0.00550416697555124
ZWICKER & ASSOCIATES,612,0.00545956270508486
LendingPoint Holdings LLC,607,0.00541495843461848
"Ava Finance, Inc",595,0.00530790818549917
Village Capital & Investment LLC,590,0.0052633039150327895
Central Research Inc,584,0.005209778790473135
FIRST TECHNOLOGY FEDERAL CREDIT UNION,583,0.005200857936379859
Albert Corporation,574,0.005120570249540375
"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP",570,0.0050848868331672716
"GLA Collection Company, Inc.",569,0.0050759659790739955
Larry H. Miller Group of Companies,567,0.005058124270887444
MOUNTAIN AMERICA FEDERAL CREDIT UNION,563,0.00502244085451434
"Trident Asset Management, L.L.C.",561,0.005004599146327789
"Tesla, Inc.",555,0.004951074021768133
"CMG Financial Services, Inc.",551,0.00491539060539503
LOBEL FINANCIAL CORPORATION,551,0.00491539060539503
"R.M. Galicia, Inc.",549,0.0048975488972084775
FIRST NATIONAL BANK OF PENNSYLVANIA,549,0.0048975488972084775
GUARANTEED RATE INC.,546,0.004870786334928649
AVANTE,546,0.004870786334928649
"January Technologies, Inc",546,0.004870786334928649
"Synerprise Consulting Services, Inc.",538,0.004799419502182442
